Rank,Title,Impact_Score,Start_Date,End_Date,Venue,Link2Conference,Link_Img
293,Information Theory and Applications,2.20,07-02-2021,07-02-2021,"Pacific Beach, San Diego",https://research.com/conference/ita-2021-information-theory-and-applications-workshop,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
294,Computing Frontiers,2.20,17-05-2022,19-05-2022,Turin,https://research.com/conference/international-conference-on-computing-frontiers,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
295,Information Processing in Medical Imaging,2.20,27-06-2021,27-06-2021,Bornholm,https://research.com/conference/ipmi-2021-international-conference-on-information-processing-in-medical-imaging,https://s.research.com/images/f297f09c18b6d5693526b7f8a6a4ced475d0eb31-233x65.png
296,Computing and Sustainable Societies,2.20,16-08-2023,19-08-2023,Cape Town,https://research.com/conference/acm-sigcassigchi-conference-on-computing-and-sustainable-societies,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
297,Computational Intelligence and Games,2.20,21-08-2023,24-08-2023,Boston,https://research.com/conference/ieee-conference-on-games-ieee-cog,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
298,Conference on Management of Data,2.20,12-06-2022,12-06-2022,Philadelphia,https://research.com/conference/sigmod-2022-acm-sigmod-international-conference-on-management-of-data-1,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
299,International Conference on Parallel and Distributed Systems,2.10,17-12-2023,21-12-2023,Hainan,https://research.com/conference/29th-ieee-international-conference-on-parallel-and-distributed-systems-icpads-2023,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
300,American Medical Informatics Association Annual Symposium,2.10,13-03-2023,16-03-2023,Seattle,https://research.com/conference/ambient-intelligence-and-smart-environments-amisme,https://s.research.com/images/036cc7550f8365005ac153600a089844eb41ff36-65x65.png
301,Computer Software and Applications Conference,2.10,26-06-2023,30-06-2023,Turino,https://research.com/conference/ieee-international-conference-on-computers-software-applications,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
302,European Symposium on Algorithms,2.10,04-09-2023,06-09-2023,Amsterdam,https://research.com/conference/european-symposium-on-algorithms-esa,https://s.research.com/images/62074573edd3ba412a299b0afef3f872df57e8bc-65x65.jpeg
303,Local Computer Networks,2.10,02-10-2023,05-10-2023,Daytona Beach,https://research.com/conference/47th-ieee-conference-on-local-computer-networks,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
304,IEEE International Conference on Pervasive Computing and Communications Workshops,2.10,13-03-2023,17-03-2023,Atlanta,https://research.com/conference/international-conference-on-pervasive-computing-and-communications-1,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
305,Information Theory Workshop,2.10,23-04-2023,28-04-2023,Saint-Malo,https://research.com/conference/the-2022-ieee-information-theory-workshop,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
306,Real-Time Systems Symposium,2.10,05-12-2023,08-12-2023,Taipei,https://research.com/conference/44th-ieee-real-time-systems-symposium,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
307,Learning @ Scale,2.10,01-06-2022,03-06-2022,Roosevelt Island,https://research.com/conference/conference-on-learning-at-scale,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
308,Automated Knowledge Base Construction,2.10,03-11-2022,05-11-2022,,https://research.com/conference/conference-on-automated-knowledge-base-construction,https://s.research.com/images/9102ef08366a4a23ba7a7b091a67a0ec922d5708-65x65.png
309,"International Conferences on Internet of Things (iThings) and IEEE Green Computing and Communications (GreenCom) and IEEE Cyber, Physical and Social Computing (CPSCom) and IEEE Smart Data (SmartData) and IEEE Congress on Cybermatics (Cybermatics)",2.10,22-08-2022,25-08-2022,Espoo,https://research.com/conference/ieee-international-conference-on-cyber-physical-and-social-computing,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
310,Picture Coding Symposium,2.10,12-06-2024,14-06-2024,Taichung,https://research.com/conference/37th-picture-coding-symposium,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
311,ACM/SPEC International Conference on Performance Engineering,2.10,15-04-2023,19-04-2023,Coimbra,https://research.com/conference/acmspec-international-conference-on-performance-engineering,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
312,Utility and Cloud Computing,2.10,04-12-2023,07-12-2023,Taormina,https://research.com/conference/16th-ieeeacm-international-conference-on-utility-and-cloud-computing,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
313,Evaluation and Assessment in Software Engineering,2.10,14-06-2023,16-06-2023,Oulu,https://research.com/conference/international-conference-on-evaluation-and-assessment-in-software-engineering,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
314,International Conference on Emerging Technologies and Factory Automation,2.10,06-09-2022,09-09-2022,Stuttgart,https://research.com/conference/27th-ieee-ies-international-conference-on-emerging-technologies-and-factory-automation,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
315,Field-Programmable Technology,2.10,12-12-2023,14-12-2023,Yokohama,https://research.com/conference/international-conference-on-field-programmable-technology-2,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
316,Software Engineering for Adaptive and Self-Managing Systems,2.10,14-05-2023,20-05-2023,Mlbourne,https://research.com/conference/symposium-on-software-engineering-for-adaptive-and-self-managing-systems,https://s.research.com/images/33bf717a26b47427087ee33408a8961ad9be4407-65x65.png
317,The Cryptographers’ Track at the RSA Conference,2.10,24-04-2023,27-04-2023,San Francisco,https://research.com/conference/ct-rsa-2022-cryptographers-track-at-the-rsa-conference,https://s.research.com/images/f297f09c18b6d5693526b7f8a6a4ced475d0eb31-233x65.png
318,European Symposium on Programming,2.10,22-04-2023,27-04-2023,Paris,https://research.com/conference/esop-2022-european-symposium-on-programming32,https://s.research.com/images/f297f09c18b6d5693526b7f8a6a4ced475d0eb31-233x65.png
319,Formal Methods in Computer-Aided Design,2.10,23-10-2023,27-10-2023,Ames,https://research.com/conference/formal-methods-in-computer-aided-design-2023,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
320,"Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications",2.00,19-02-2023,21-02-2023,Lisbon,https://research.com/conference/visigrapp-2022-international-joint-conference-on-computer-vision-imaging-and-computer-graphics-theory-and-applications18,https://s.research.com/images/07a06c8ff48295078550a1c0a1d67201f945bbab-65x65.png
321,Visual Communications and Image Processing,2.00,04-12-2023,07-12-2023,Jeju,https://research.com/conference/2023-ieee-international-conference-on-visual-communications-and-image-processing,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
322,IEEE International Workshop on Robot and Human Communication,2.00,28-08-2023,31-08-2023,Busan,https://research.com/conference/31st-ieee-international-conference-on-robot-human-interactive-communication,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
323,"IEEE SmartWorld, Ubiquitous Intelligence & Computing, Advanced & Trusted Computing, Scalable Computing & Communications, Cloud & Big Data Computing, Internet of People and Smart City Innovation",2.00,15-12-2022,18-12-2022,HAikou,https://research.com/conference/ieee-smart-wworld-congress,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
324,International Conference on Computer Design,2.00,06-11-2023,08-11-2023,Washington DC,https://research.com/conference/41st-ieee-international-conference-on-computer-design,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
325,"International Workshop and International Workshop on Approximation, Randomization, and Combinatorial Optimization. Algorithms and Techniques",2.00,11-09-2023,13-09-2023,Atlanta,https://research.com/conference/international-conference-on-approximation-algorithms-for-combinatorial-optimization-problems-1,https://s.research.com/images/62074573edd3ba412a299b0afef3f872df57e8bc-65x65.jpeg
326,"IEEE International Symposium on Dependable, Autonomic and Secure Computing",2.00,13-11-2023,17-11-2023,Abu Dhabi,https://research.com/conference/21st-ieee-international-conference-on-dependable-autonomic-secure-computing,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
327,Educational Data Mining,2.00,24-07-2022,27-07-2022,Durham,https://research.com/conference/international-conference-on-educational-data-mining,https://s.research.com/images/cf6c798ebd42f67c9ad03a83c1fbf0bd9ec2e251-481x65.png
328,"International Symposium on Modeling and Optimization in Mobile, Ad Hoc, and Wireless Networks",2.00,24-08-2023,27-08-2023,Singapore,https://research.com/conference/21st-international-symposium-on-modeling-and-optimization-in-mobile-ad-hoc-and-wireless-networks,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
329,Advanced Information Networking and Applications,2.00,29-03-2023,31-03-2023,Juiz de Fora Federal University,https://research.com/conference/international-conference-on-advanced-information-networking-and-applications-1,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
330,International Conference on Smart Grid Communications,2.00,31-10-2023,04-11-2023,Glasgow,https://research.com/conference/13th-ieee-international-conference-on-smart-grid-communications-smartgridcomm-2022,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
331,International Symposium on Performance Analysis of Systems and Software,2.00,22-05-2022,24-05-2022,Singapore,https://research.com/conference/2022-ieee-international-symposium-on-performance-analysis-of-systems-and-software,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
332,Conference on Artificial Life,2.00,24-07-2023,28-07-2023,Sapporo,https://research.com/conference/conference-on-artificial-life,https://s.research.com/images/41c35364035d496440e25ae7d5eba9b49dbeb37d-66x65.png
333,Visual Languages and Human Centric Computing,2.00,02-10-2023,06-10-2023,"Washington, DC",https://research.com/conference/ieee-symposium-on-visual-languages-and-human-centric-computing-1,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
334,IEEE International Conference on Blockchain and Cryptocurrency,2.00,01-05-2023,05-05-2023,Dubai,https://research.com/conference/ieee-icbc-2022-ieee-international-conference-on-blockchain-and-cryptocurrency-2022,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
335,Canadian Conference on Electrical and Computer Engineering,2.00,24-09-2023,27-09-2023,"Regina, Saskatchewan",https://research.com/conference/2023-canadian-conference-on-electrical-and-computer-engineering,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
336,Pacific Visualization Symposium,2.00,11-04-2022,14-04-2022,,https://research.com/conference/the-15th-ieee-pacific-visualization-symposium,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
337,Document Analysis Systems,2.00,22-05-2022,25-05-2022,La Rochelle,https://research.com/conference/iapr-international-workshop-on-document-analysis-systems,https://s.research.com/images/f297f09c18b6d5693526b7f8a6a4ced475d0eb31-233x65.png
338,"Wireless and Mobile Computing, Networking and Communications",2.00,21-06-2023,23-06-2023,Montreal,https://research.com/conference/the-18th-international-conference-on-wireless-and-mobile-computing-networking-and-communications,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
339,"Application-Specific Systems, Architectures, and Processors",2.00,19-07-2023,21-07-2023,Porto,https://research.com/conference/ieee-international-conference-on-application-specific-systems-architectures-and-processors,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
340,IEEE International Symposium on Dynamic Spectrum Access Networks,2.00,13-12-2021,15-12-2021,,https://research.com/conference/ieee-international-symposium-on-dynamic-spectrum-access-networks,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
341,International Conference of Distributed Computing and Networking,2.00,04-01-2024,07-01-2024,IIT Madras,https://research.com/conference/25th-international-conference-on-distributed-computing-and-networking-2,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
342,Energy-Efficient Computing and Networking,2.00,16-06-2023,23-06-2023,Orlando,https://research.com/conference/acm-international-conference-on-future-energy-systems,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
343,IEEE International Workshop on Information Forensics and Security,2.00,04-12-2023,07-12-2023,Nuremberg,https://research.com/conference/15th-ieee-international-workshop-on-information-forensics-and-security,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
344,Statistical Atlases and Computational Models of the Heart,2.00,12-10-2023,12-10-2023,Vancouver,https://research.com/conference/14th-statistical-atlases-and-computational-modeling-of-the-heart,https://s.research.com/images/f297f09c18b6d5693526b7f8a6a4ced475d0eb31-233x65.png
345,Symposium on Edge Computing,2.00,06-12-2023,09-12-2023,Wilmington,https://research.com/conference/eighth-acmieee-symposium-on-edge-computing,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
346,Symposium on SDN Research,2.00,18-10-2022,20-10-2022,,https://research.com/conference/symposium-on-sdn-research,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
347,International Conference on Hybrid Systems: computation and control,2.00,09-05-2023,12-05-2023,San Antonio,https://research.com/conference/acm-international-conference-on-hybrid-systems-computation-and-control-1,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
348,"International Conference on Ambient Systems, Networks and Technologies, the International Conference on Emerging Data and Industry 4.0, and Affiliated Workshops",2.00,22-03-2022,25-03-2022,Porto,https://research.com/conference/international-conference-on-ambient-systems-networks-and-technologies,https://s.research.com/images/d937e81eb98c92c6f7fc30cc10831465b18c6fdc-417x65.png
349,Asian Conference on Pattern Recognition,1.90,26-11-2019,26-11-2019,Auckland,https://research.com/conference/acpr-2019,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
350,The European Symposium on Artificial Neural Networks,1.90,04-10-2023,06-10-2023,Bruges & Online,https://research.com/conference/31st-european-symposium-on-artificial-neural-networks-computational-intelligence-and-machine-learning,https://s.research.com/website/1098944084/images/placeholder.svg
351,International Conference on Wireless Communications and Signal Processing,1.90,02-11-2023,04-11-2023,Hangzhou,https://research.com/conference/fifteenth-international-conference-on-wireless-communications-and-signal-processing,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
352,IEEE International Conference on Multimedia and Expo Workshops,1.90,10-07-2023,14-07-2023,Brisbane,https://research.com/conference/ieee-international-conference-on-multimedia-and-expo-3,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
353,International Joint Conference on Biometrics,1.90,25-09-2023,28-09-2023,Ljubljana,https://research.com/conference/ieee-international-joint-conference-on-biometrics-ijcb-2023,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
354,International Conference on emerging Networking EXperiments and Technologies,1.90,05-12-2023,08-12-2023,Paris,https://research.com/conference/the-18th-international-conference-on-emerging-networking-experiments-and-technologies,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
355,Pervasive Technologies Related to Assistive Environments,1.90,29-06-2022,01-07-2022,Corfu,https://research.com/conference/15th-international-conference-on-pervasive-technologies-related-to-assistive-environments-petra-2022,https://s.research.com/images/aaea62ceed2c4daed848f17a7a6497205a37bcaa-112x65.png
356,Digital Image Computing: Techniques and Applications,1.90,28-11-2023,01-12-2023,Port Macquarie,https://research.com/conference/international-conference-on-digital-image-computing-techniques-and-applications-1,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
357,Principles of Knowledge Representation and Reasoning,1.90,02-09-2023,08-09-2023,Rhodes,https://research.com/conference/international-conference-on-principles-of-knowledge-representation-and-reasoning,https://s.research.com/images/8df9bf4976c21d764a639479f9759d4daab17d42-91x65.png
358,Internet-of-Things Design and Implementation,1.90,03-05-2022,06-06-2022,Milan,https://research.com/conference/7th-acmieee-conference-on-internet-of-things-design-and-implementation,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
359,EDBT/ICDT Workshops,1.90,28-03-2023,31-03-2023,Ioannina,https://research.com/conference/international-conference-on-extending-database-technology-1,https://s.research.com/images/8d4cd138d05e9855212ddeab40631507b588376c-65x65.png
360,"ACM International Conference on Systems for Energy-Efficient Buildings, Cities, and Transportation",1.90,15-11-2023,16-11-2023,Istanbul,https://research.com/conference/10th-acm-international-conference-on-systems-for-energy-efficient-buildings-cities-and-transportation-buildsys-2023,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
361,International Conference on Conceptual Modeling,1.90,06-11-2023,09-11-2023,Lisbon,https://research.com/conference/42nd-international-conference-on-conceptual-modeling,https://s.research.com/images/f297f09c18b6d5693526b7f8a6a4ced475d0eb31-233x65.png
362,IEEE Wireless Communications and Networking Conference Workshops,1.90,26-03-2023,29-03-2023,Glasgow,https://research.com/conference/wcncw-2022-ieee-wireless-communications-and-networking-conference1,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
363,International Conference on the Theory and Application of Cryptology and Information Security,1.90,04-12-2023,08-12-2023,Guangzhou,https://research.com/conference/29th-annual-international-conference-on-the-theory-and-applications-of-cryptology-and-information-security,https://s.research.com/images/f297f09c18b6d5693526b7f8a6a4ced475d0eb31-233x65.png
364,International Conference on Industrial Internet,1.90,11-11-2019,11-11-2019,"Orlando, FL, USA",https://research.com/conference/icii-2019,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
365,ACM/IEEE Joint Conference on Digital Libraries,1.90,20-06-2022,24-06-2022,Cologne,https://research.com/conference/acmieee-joint-conference-on-digital-libraries,https://s.research.com/images/33bf717a26b47427087ee33408a8961ad9be4407-65x65.png
366,Traffic Monitoring and Analysis,1.90,27-06-2022,01-07-2022,Enschede,https://research.com/conference/network-traffic-measurement-and-analysis-conference,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
367,Interaction Design and Children,1.90,27-06-2022,30-06-2022,Braga,https://research.com/conference/21st-acm-interaction-design-and-children-conference,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
368,Runtime Verification,1.90,04-10-2023,06-10-2023,Thessaloniki,https://research.com/conference/23rd-international-conference-on-runtime-verification-rv23,https://s.research.com/images/f297f09c18b6d5693526b7f8a6a4ced475d0eb31-233x65.png
369,Symposium on Access Control Models and Technologies,1.90,08-06-2022,10-06-2022,,https://research.com/conference/the-acm-symposium-on-access-control-models-and-technologies,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
370,International Conference on Business Process Management,1.90,11-09-2023,15-09-2023,Utrecht,https://research.com/conference/international-conference-on-business-process-management,https://s.research.com/images/f297f09c18b6d5693526b7f8a6a4ced475d0eb31-233x65.png
371,Speech Synthesis Workshop,1.90,26-08-2023,28-08-2023,Grenoble,https://research.com/conference/isca-speech-synthesis-workshop,https://s.research.com/images/c5de2b22f1a2a19b093d3293f5b02b40600d7d2e-65x65.png
372,6G Wireless Summit,1.90,06-06-2023,09-06-2023,Gothenburg,https://research.com/conference/eucnc-6g-summit,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
373,SPIE Defense + Commercial Sensing,1.80,30-04-2023,04-05-2023,Orlando,https://research.com/conference/defense-commercial-sensing-1,https://s.research.com/images/354ea4190936c68e2681333e8b2eccf3728ab92e-172x65.png
374,IEEE Symposium on Computers and Communications,1.80,30-06-2022,03-07-2022,Rhodes Island,https://research.com/conference/27th-ieee-symposium-on-computers-and-communications,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
375,Virtual Reality and 3D User Interfaces Abstracts and Workshops,1.80,25-03-2023,29-03-2023,SHanghai,https://research.com/conference/ieee-conference-on-virtual-reality-and-3d-user-interfaces-1,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
376,IEEE International Conference on Cloud Computing Technology and Science,1.80,16-02-2023,17-02-2023,Bangkok,https://research.com/conference/international-conference-on-cloud-computing-technology-and-science,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
377,Symposium on Computational Geometry,1.80,07-06-2022,10-06-2022,Berlin,https://research.com/conference/the-38th-international-symposium-on-computational-geometry,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
378,e-Science and Grid Computing,1.80,09-10-2023,13-10-2023,Limassol,https://research.com/conference/18th-ieee-international-conference-on-escience-escience-2022,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
379,Symposium on Computer-Based Medical Systems,1.80,22-06-2023,24-06-2023,L'Aquila,https://research.com/conference/ieee-international-symposium-on-computer-based-medical-systems,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
380,European Conference on Object-Oriented Programming,1.80,06-06-2022,10-06-2022,Berlin,https://research.com/conference/european-conference-on-object-oriented-programming,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
381,International Conference on Concurrency Theory,1.80,17-09-2023,22-09-2023,Antwerp,https://research.com/conference/34th-international-conference-on-concurrency-theory,https://s.research.com/images/62074573edd3ba412a299b0afef3f872df57e8bc-65x65.jpeg
382,International Symposium on Wireless Communication Systems,1.80,14-07-2024,17-07-2024,Rio de Janeiro,https://research.com/conference/19th-international-symposium-on-wireless-communication-systems,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
383,IEEE/ACM International Conference on Connected Health: Cooperative and Human Aspects of Software Engineering,1.80,18-05-2022,19-05-2022,Pittsburgh,https://research.com/conference/15th-international-conference-on-cooperative-and-human-aspects-of-software-engineering,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
384,Information Reuse and Integration,1.80,04-08-2023,06-08-2023,Bellevue,https://research.com/conference/ieee-24th-international-conference-on-information-reuse-and-integration-for-data-science,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
385,Embedded and Real-Time Computing Systems and Applications,1.80,30-08-2023,01-09-2023,Niigata,https://research.com/conference/29th-ieee-international-conference-on-embedded-and-real-time-computing-systems-and-applicationsrtcsa23,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
386,International Conference on Frontiers in Handwriting Recognition,1.80,07-12-2022,10-12-2022,Hyderabad,https://research.com/conference/18th-international-conference-on-frontiers-in-handwriting-recognition,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
387,IEEE Data Science Workshop,1.80,22-05-2022,23-05-2022,Singapore,https://research.com/conference/ieee-data-science-learning-workshop,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
388,International Conference on Visualisation,1.80,22-10-2023,27-10-2023,Melbourne,https://research.com/conference/ieee-vis-2022,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
389,Computing and Communication Workshop and Conference,1.80,08-03-2023,11-03-2023,,https://research.com/conference/annual-computing-and-communication-workshop-and-conference-1,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
390,Eurographics Workshop on 3D Object Retrieval,1.80,31-08-2023,01-09-2023,Lille,https://research.com/conference/symposium-on-3d-object-retrieval-2023,https://s.research.com/images/d937e81eb98c92c6f7fc30cc10831465b18c6fdc-417x65.png
391,International Conference on Software Architecture,1.80,22-03-2021,22-03-2021,Stuttgart,https://research.com/conference/icsa-2021-ieee-international-conference-on-software-architecture,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
392,Euromicro Conference on Real-Time Systems,1.80,11-07-2023,14-07-2023,Vienna,https://research.com/conference/euromicro-conference-on-real-time-systems,https://s.research.com/images/62074573edd3ba412a299b0afef3f872df57e8bc-65x65.jpeg
393,Intelligence and Security Informatics,1.80,02-11-2021,03-11-2021,Online,https://research.com/conference/international-conference-on-intelligence-and-security-informatics,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
394,Hardware-Oriented Security and Trust,1.80,01-05-2023,04-05-2023,San Jose,https://research.com/conference/ieee-international-symposium-on-hardware-oriented-security-and-trust-1,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
395,Millimeter-Wave Networks and Sensing Systems,1.80,31-01-2022,31-01-2022,New Orleans,https://research.com/conference/5th-acm-workshop-on-millimeter-wave-networks-and-sensing-systems,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
396,Theory and Applications of Satisfiability Testing,1.80,04-07-2023,08-07-2023,Alghero,https://research.com/conference/the-26th-international-conference-on-theory-and-applications-of-satisfiability-testing,https://s.research.com/images/f297f09c18b6d5693526b7f8a6a4ced475d0eb31-233x65.png
397,Workshop on Fact Extraction and Verification,1.80,26-05-2022,26-05-2022,Dublin,https://research.com/conference/the-fifth-fever-workshop,https://s.research.com/images/ad548ceac57a0fe4447906e5ad33864633d3e6ec-65x65.png
398,Detection and Classification of Acoustic Scenes and Events Workshop,1.80,21-09-2023,22-09-2023,Tampere,https://research.com/conference/workshop-on-detection-and-classification-of-acoustic-scenes-and-events-1,https://s.research.com/website/1098944084/images/placeholder.svg
399,"International Conference on Internet of Things, Big Data and Security",1.70,21-04-2023,23-04-2023,Prague,https://research.com/conference/international-conference-on-internet-of-things-big-data-and-security,https://s.research.com/images/07a06c8ff48295078550a1c0a1d67201f945bbab-65x65.png
400,"Modeling, Analysis and Simulation of Wireless and Mobile Systems",1.70,30-10-2023,03-11-2023,Montreal,https://research.com/conference/26th-international-conference-on-modeling-analysis-and-simulation-of-wireless-and-mobile-systems,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
401,Mathematical Foundations of Computer Science,1.70,28-08-2023,01-09-2023,Bordeaux,https://research.com/conference/48th-international-symposium-on-mathematical-foundations-of-computer-science,https://s.research.com/images/62074573edd3ba412a299b0afef3f872df57e8bc-65x65.jpeg
402,IEEE International Conference on Industrial Informatics,1.70,17-07-2023,20-07-2023,Lemgo,https://research.com/conference/ieee-international-conference-on-industrial-informatics,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
403,IFIP Networking Conference,1.70,13-06-2022,16-06-2022,Catania,https://research.com/conference/21st-international-federation-for-information-processing-ifip-networking-2022-conference-networking-2022,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
404,Winter Simulation Conference,1.70,10-12-2023,13-12-2023,San Antonio,https://research.com/conference/winter-simulation-conference-2023,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
405,Formal Methods,1.70,06-03-2023,10-03-2023,Lübeck,https://research.com/conference/25th-international-symposium-on-formal-methods,https://s.research.com/images/f297f09c18b6d5693526b7f8a6a4ced475d0eb31-233x65.png
406,European Conference on Parallel Processing,1.70,28-08-2023,01-09-2023,Limassol,https://research.com/conference/international-european-conference-on-parallel-and-distributed-computing,https://s.research.com/images/f297f09c18b6d5693526b7f8a6a4ced475d0eb31-233x65.png
